,song,lyrics
26,herossoup,Father. I am my father's son. That's why I want to know. Dad has the hero's soup every day in the morning. I hate eating it because it is spicy. I think he likes it. I don't understand  I have a small appetite. I don't know why he eats the same food everyday. I don't know the soup you inhaled until you could see the bottom of the hero's soup pot. After passing over the soup that looked red  burning and hot. Why do you sigh for so long . I was always waiting so I didn't know anything. I didn't know. When will I know what it means to be cold everyday . I still don't know. Warm hero's soup  hero's soup. If it could melt my cold sighs. Warm hero's soup  hero's soup. If it is any comfort to me. My father wore a suit last night. It smelt like it was filled with worries and anxieties. At that moment  I hoped that that meant happiness. I think I hoped that a lot. Was it not long before my father noticed hero's soup . I did not think it meant much. I did not think it had much meaning. Will I understand what it means in the end . I was always waiting so I didn't know anything. I didn't know. When will I know what it means to be cold every day . I still don't know. Warm hero's soup  hero's soup. If it could melt my cold sighs. Warm hero's soup  hero's soup. If it is any comfort to me. Father. I am my father's son. That's why I know. That's why I can tell. Father. I am my father's son. That's why I know. That's why I can tell. Father. I am my father's son. That's why I know. That's why I can tell. Father. I am my father's son. That's why I know. That's why I can tell. 
27,getcool,Honey bees  too get honey get honey. I'm bored rolling rolling Deguri. Yummy honey I want to have some  too. Why not today . Money in my pants that I took out after a long time. I saved today's lunch money save ma pocket money. I'm so lucky from morning I feel good today. A day without even little worries love it. What's going on today  Seriously. Did I use all my luck . Let's not worry too much. Today  I will. Get cool. What else do I need on this fine day . Get cool. I won't worry about tomorrow I'll fly away. Today I fly into the sky. Fly into the sky fly fly fly. Everything goes well today  something is different. Higher fly into the sky. Fly into the sky fly fly. So so but it's a lucky day. Get cool  get cool  get cool  the song sings itself. Softly softly softly I feel like I'm on the cloud. The drink I bought without thinking. Get a benefit one plus one. Baby brother  I picked this up on my way. Ha  this is big brother's class. I had chicken that night. When I opened the box  oh I found   drumsticks. Right after eating it  someone rang the bell  that was my package. Ready  ready  ready baby. Maybe today is my lucky day. I'm happier today get cool  get cool day. What's going on today  Seriously. Did I use all my luck . Let's not worry too much. Today  I will. Get cool. What else do I need on this fine day . Get cool. I won't worry about tomorrow I'll fly away. Today I fly into the sky. Fly into the sky fly fly fly. Everything goes well today Something is different. Higher fly into the sky. Fly into the sky fly fly. So so but it's a lucky day. Even small things are magnificent and spectacular. They're god given gifts. I'm not short of them I'm satisfied. This is get cool. Ey  small things that matter. Ey  little things that matter. Every once in a while Imma feel so fly. That's cause there are subtle things like whoo. Kicking the leaves in the Autumn breeze. Don't forget about the sound they make. Doesn't matter if the world is a cold place. Cause I'm getting cooler. Get cool. What else do I need on this fine day . Get cool. I won't worry about tomorrow I'll fly away. Today I fly into the sky. Fly into the sky fly fly fly. Everything goes well today Something is different. Higher fly into the sky. Fly into the sky fly fly. So so but it's a lucky day. 
28,ns,Weather feelin' hot or cold. Stray Kids going fast or slow. Life on the South and North poles. N S and N S. Red light green light swag. Bye or wassup man. Life on the South and North poles. N S and N S. O X O X O That's all I know. O X O X finally O. Weather feelin' hot or cold. Stray Kids going fast or slow. Life on the South and North poles. N S and N S. Not this  that  not that  this. Take everything ambiguous out. Ice or hot  cold bath or warm bath. If there are more than   options I never choose the answer. White or black colored chameleon. I feel dizzy a little Just pick one. Yes  it goes the same  when I practice. I hate something ambiguous the most. I would rather go to the Playstation room and chill out. Weather feelin' hot or cold. Stray Kids going fast or slow. Life on the South and North poles. N S and N S. Red light green light swag. Bye or wassup man. Life on the South and North poles. N S and N S. O X O X O That's all I know. O X O X finally O. Weather feelin' hot or cold. Stray Kids going fast or slow. Life on the South and North poles. N S and N S. Light is light or black out. When I get dressed only white or black. It definitely makes me look better. If I try a new style I could be the fashion terrorist. I'm not afraid of it. That's just my innate preference. I just hate anything ambiguous. So I hate the phrase 'at least go halfway' the most. If I was gonna be mediocre. I wouldn't have started in the first place. If I was gonna just go halfway. I'm already half done as I began. If I were moderate I got nothing. If I had to just go halfway I'm finished. I can't see the low resolution I can see the high resolution well. It's all or nothing Even if it's nothing  I go. Mom rather than dad Dad rather than mom. I can't pick one Imma I like both of them. Short T shirts in winter Electric pads in summer. Should I do that  Give me a break. O X O X O That's all I know. O X O X finally O. Weather feelin' hot or cold. Stray Kids going fast or slow. Life on the South and North poles. N S and N S. It's either  go up or down  there's no in between. Try try try I don't want to go down. Whoo  whoo  whoo. Jjiggudi Dugada Pop. Stray Kids on the block. Warigari oh my gosh. Plus and minus pick one. Only if I control my power when I practice. I can find the midpoint. Even if I try again and again I can't do it as I want. N S opposite I can do both. N S opposite whatever it is  I overcome. Weather feelin' hot or cold. Stray Kids going fast or slow. Life on the South and North poles. N S and N S. Red light green light swag. Bye or wassup man. Life on the South and North poles. N S and N S. O X O X O That's all I know. O X O X finally O. Weather feelin' hot or cold. Stray Kids going fast or slow. Life on the South and North poles. N S and N S. It's not easy. 
29,0325,One by one  my dreams are becoming bigger. Getting too much  no play. When the shot at the starting line launches high up. Besides pushing my confidence forwards. I also feel nervousness. And fluttering at the same time as I take a step  what. The memories of the practice room. Where I continued running without rest. No more hard times. No more solitary times. Our start doesn't make me cry anymore. The blurry light is becoming more distinct. You know we go up up yeah we don't stop. Till I touch my dream with my fingertips. You know we go up up till we touch the sky. Even though I can't see it  I'll go till the end. This is our start line  our start line our start line.       it's our start. Born  born  I was born again then. From a lump of soil with nothing  a beautiful flower bloomed. Stay with me like this  you make me feel more special. Starting with the same dream  going towards a greater dream. No more hard times. No more solitary times. It's getting further and further. Getting to the end of the lengthy confusion. Getting further from that darkness. The blurry light is becoming more distinct. You know we go up up yeah we don't stop. Till I touch my dream with my fingertips. You know we go up up till we touch the sky. Even though I can't see it  I'll go till the end. Can you stay right with me  with me. Cause we gon do it together  with you. Can you STAY right with me  with me. Cause we gon do it together  with you. You know we go up up yeah we don't stop. Till I touch my dream with my fingertips. I remember running without rest. Running till the end  till I see my dream. You know we go up up till we touch the sky. Even though I can't see it  I'll go till the end. Even when I fall over or shudder for a little. I will definitely never give up. This is our start line  our start line our start line.       it's our start. 
30,mixtape3,My steps toward the study room. Today as always. Are not just light. The tedious hours that started again. Let me down and make me watch the clock. Sometimes  I think if I can do well. The moment when I gave it a shot as much as possible. And when I accomplished. I exist in between  shall I make efforts . Don't worry. The way you've run is just a process for you. Flowers too. Have the process  not the moment in bloom. That's more beautiful. The real time spirit and mind. It's only natural that you're confused. It's a process to make good results. You've took so many tests. This is not different  it determines your life. That is an exaggeration  so don't worry  you're doing fine. We're still young I don't think it's the last one. We suffered in the past But we cheered ourselves up again. You endured the hardships and adversity. Keep believing in yourself. Yeah I know  we know. You can do it well. Don't give up. You've done so well. What are you worrying about  Believe in yourself. Blessings wait for you  hey . For you  hey . You must have suffered a lot. Living as you tried to be awake. Time must have passed a lot. It's on your face. You lost and won in the battle. With the numbers for      days. Get out of the room that locked you all night. You really did a good job. Let's only walk on the flowery path. I've run without a break In the repeated tension. I chose a path that's not easy. To make flowers bloom  they have to go through the winter. I hope I can see the fruits of the flowers. I'm nervous and afraid. Solve the problems on time and watch the time. Tick tock time is still left. Ring ring it's ended but I have many worries. Just please stop asking how I did it  leave my business. Cause ma markings on my papers. Tell me that I'm really useless. But again I'm just getting started. There's always other ways. Gotta fill up my story  this is my buffet. Yeah I know  we know. You can do it well. Don't give up. You've done so well. What are you worrying about  Believe in yourself. Blessings wait for you  hey . For you  hey . I don't know the feelings yet. Somehow I think I know the feelings. It's okay you can do well. The word gives me a lot of energy. The last rite of passage before folding the young wings. The footsteps I've left. Where will they go . I think the records for my days. Became the foundation for my future. It ain't over. It ain't over. It ain't over. What are you worrying about  Believe in yourself. Blessings wait for you  hey . For you. Blessings wait for you  hey . For you. 
31,miroh,Across the mountain across the mountain. Across the river across the river. Across the mountain and range across the river and the ocean. Across all of it and the next. It's not hard  in this rough jungle. It was me who ran into it  I'm okay. We goin' higher in the next city. Looking down the buildings  fly all day. Woah oh oh woah oh oh woah oh higher I'm going up over there. Woah oh oh woah oh oh woah oh higher I'm going to fly higher. Woah oh oh woah oh oh woah oh higher I'm going up over there. Woah oh oh woah oh oh woah oh higher I'm going to fly higher. There's no way because it's my first time. I was daring because it's my first time. That it was my first time became a weapon. It's my first time  my first time  all of them. Poison  trap  toadstool you can set them up. I'll survive in the end  whatever it takes. I know your traps  you set them up and I stomp on them tougher. There's only one answer  you just have to open it.  Stray Kids woo  . It's not hard  in this rough jungle. It was me who ran into it  I'm okay. We goin' higher in the next city. Looking down the buildings  fly all day. Woah oh oh woah oh oh woah oh higher I'm going up over there. Woah oh oh woah oh oh woah oh higher I'm going to fly higher. Woah oh oh woah oh oh woah oh higher I'm going up over there. Woah oh oh woah oh oh woah oh higher I'm going to fly higher. It's not hard  in this rough jungle. It was me who ran into it  I'm okay. We goin' higher in the next city. Looking down the buildings  fly all day. Lots of thorny vines  need to push down my cuts. But there's no time to rest. I'm alright  I'm holding on and I keep on going. I just need to look ahead and run. Run through the maze like a beast. I'm avoiding all the familiar paths. Though inexperienced  it's a new challenge. Imma Bear Grylls anything that blocks my dream. I'm going to eat it up. I run  it's the adventure for my dream.  Stray Kids woo  . It's not hard  in this rough jungle. It was me who ran into it  I'm okay. We goin' higher in the next city. Looking down the buildings  fly all day. It's not hard  in this rough jungle. It was me who ran into it  I'm okay. We goin' higher in the next city. Looking down the buildings  fly all day. Woah oh oh woah oh oh woah oh higher I'm going up over there. Woah oh oh woah oh oh woah oh higher I'm going to fly higher. Woah oh oh woah oh oh woah oh higher I'm going up over there. Woah oh oh woah oh oh woah oh higher I'm going to fly higher. 
32,victorysong,Listen to this victory song. Stray Kids ah. Listen to this victory song. Undefeated. Listen to this victory song. Roll the dice hunnid times. I know even with my eyes closed  roll the dice  I'm throwing it all. Victory song all the time. I hear the victory song even with my ears closed. The free spirit of the winner  a smile on my face. Who's like me  Who can be like me  Get the  oops  out of here. Such an aromatic flower path  drunk with the scent. I'm flying higher  my existence alone is against the rules. I'll never stop. I'll throw it all  I'll go all out. I'm fighting a fight I'll win anyway. Throw it all. I'll never fall back. Overflowing with confidence and a fighting spirit. Throw it all. The shouts of a winner. Listen to this victory song. Undefeated. Listen to this victory song. Undefeated. Listen to this victory song. I'm going forward  I'm going up  fly high. Who can dare stop me . The king of the jungle  tiger  an anaconda to swallow you. I'm going toward my goal  going higher. What do you mean what do I do  Amateurs. What do you mean what do I do  So funny. It's either black or white. Whatever direction the compass points. Hurry  I got it  I can go anywhere. I'm only satisfied once I arrive. I'll never stop. I'll throw it all  I'll go all out. I'm fighting a fight I'll win anyway. Throw it all. I'll never fall back. Overflowing with confidence and a fighting spirit. Throw it all. The shouts of a winner. Listen to this victory song. Undefeated. Listen to this victory song. Undefeated. Listen to this victory song. The atmosphere is hot  my passion is lit on fire. I've never learned to be afraid of failure. There's no height I can't go over. Just believe in myself. I'll climb up one by one. The shouts of a winner. Listen to this victory song. Undefeated. Listen to this victory song. Undefeated. Listen to this victory song. 
33,mazeofmemories,Time runs. Like my dreams  day and night. I'm carrying them on my neck. Throwing my memories outside. This is like a drama without a script. It's an ending you've never thought of. The dust that covered my heart before. Now presses down on my dreams. Throwback  swallows up the dark night. Now I have the bright light of the sun that I took. Next  in the cold dawn  I see the lonely moon. It covers my face  intoxicating me. Like it's coloring me black. My head is burning. Question marks filling me up  blaming myself. Now I'm running for an answer I can't even see. Running on my mind but I'm feeling even more frustrated. This is a fight for my tomorrow. Right now  I feel like I've seen the future from yesterday. I'm putting on a smile  letting out a sigh. Feels like I'm taking a look at myself. A momentary silence. The slower I walk  the more the wind pushes me. Turn up with this wandering. Give me some time to sleep. Show me an answer that's like the wrong answer. What I see right now is all a lie. I go around but I'm stuck in the same time. Under the blue sky  our song burns red. Our song burns red and the sandy wind tries to stop it. Like a whale hunting for food. But I can't just get eaten  that's how I am. When stones come flying from here and there. I'll cut them up with a sword. Turning them into pieces  making the pieces into a mountain. And giving it all back. It's boiling up  the anger I held. I'm lifting myself up from being trapped in anger. I wish that anger would bloom into a flower. Instead of a sea of fire  I want to be in a bed of flowers. Devils chattering above the highway. My brain floats around the complex air. What saved my brain are the birds that fly high. I'm riding on the back of those birds  flying. Mma look back. Imma look back to the future in fact. Let me examine the progress. The demons that tried to suffocate the road to success. Imma look forward into the sea. Oblivious sea I call  history . Thunderous waves that rage. Destroying the maze of memories I wanna see. And so  should I give up. But really  can I give up. We live in a time and space  a world full of blinds. It makes me wanna give up. But then again  no I shouldn't give up. I feel it inside  don't wanna give up. We live in a time and space  a world full of blinds. Now I've had enough. Calling out for help  on this carousel. Life is like a dare or an open fair. I just wanna tell  tell the citadel. Dream. Empire  campfire . Unpile old files  set fire. Rise higher  go wild and chase my. Dream. That's why I. Never give up. Never give up. Listen to me  I'm different. Never give up. Never give up. Never give up. Looking at tomorrow  running a bit more. Never give up. 
34,boxer,Ah    Okay. Hello  I'm a young man who can fly anywhere. But that doesn't make me a runaway youth  everyone  attention. I don't touch those who are weaker than me. I just pick out the strong ones and beat them up. I can be a gentle lamb but turn into a beast in front of my goals. Spitting out my fighting spirit      . My goal that will fill my stomach is on the other side of the world. I'm burning up any resignation  I can see the fight in me every day. I see myself rising  like a UFO in the sky. My future is so bright  even the sun shines on my path. Oh I'll keep fighting. Oh you can't stop me.       everyone come at me. K O faster than anyone else. Look closely  at the speed of light  hey. Two fists above my head  hey. Smash it up  wait is that too harsh  BOXER. Jab  Stray Kids  jab. One  two  counter punch  knock out. Jab  jab  Stray Kids  jab  jab. One  two  counter punch  knock out. I'm catching everything that comes into my eyes. I'll hold tight to everything that comes into my hands. I see my prey. I'll fly like an eagle and eat them all up. I'm catching everything that comes into my eyes. I'll hold tight to everything that comes into my hands. I see my prey. I'll fly like an eagle and eat them all up. Get out of my way  go. Higher  gotta gotta gotta go. Claxon beep beep. Victory Song ladidadi lalala. I'm gonna draw my future like Picasso. What I want  I'll get. I'm flying above my goals  but I'm not a delinquent . Across mountains  across rivers. Across rivers  across everything. Across mountains to the mountain range  across rivers to the sea. Across everything  I'm climbing over walls. Oh I'll keep fighting. Oh you can't stop me.       everyone come at me. K O faster than anyone else. Look closely  at the speed of light  hey. Two fists above my head  hey. Goosebumps  BOXER. Jab  Stray Kids  jab. One  two  counter punch  knock out. Jab  jab  Stray Kids  jab  jab. One  two  counter punch  knock out. Turn it up  ready  spotlight shining on me. I'll go wherever I wanna go. I'll do whatever I wanna do. Raising my fists high      . I'm praying for a fight in a brighter future. I'm gonna win anyway so I'll take a punch. Now the ring is ringing. Smash it up  wait    BOXER. Stray Kids  jab  jab. One  two  counter punch  knock out. I'm catching everything that comes into my eyes. I'll hold tight to everything that comes into my hands. I see my prey. I'll fly like an eagle and eat them all up. I'm catching everything that comes into my eyes. I'll hold tight to everything that comes into my hands. I see my prey. I'll fly like an eagle and eat them all up. 
35,chronosaurus,I ran all the way here without rest so why. Is everything around me still so dark . They say time will solve everything. But those words just give me fear. Time can't solve this. If I wait  I'll get caught  I need to do something. I have no other way. Is time here gold or a beast . When I get caught from hide and seek  is it me or is it a dream . Day and night  every day. Fear holds onto me. I'm kicking it away and running  even if I run out of breath. I'm running endlessly. Why is time running so quickly to me . I'm kicking it away and running  even if I fall. I'm running without fail. I just need to keep running so you can't even see me. Woah woah woah yeah yeah. Tick tock tick tock gettin' closer. Woah woah woah yeah yeah. Tick tock  hurry and run. Watch out  watch out  open your eyes. Countdown  countdown  what do I do now . Feels like I'm trapped in an hourglass. Watch out  watch out  open your eyes. Countdown  countdown  what do I do now . If I stop  it's over. I'm kicking it away and running  even if I run out of breath. I'm running endlessly. Why is time running so quickly to me . I'm kicking it away and running  even if I fall. I'm running without fail. I just need to keep running so you can't even see me. Ooh like a tunnel with no light. Yeah ooh  there's no end with this fear. Ooh like a tunnel with no light.  Yeah ooh  day and night  every day.  There's no end with this fear . Fear holds onto me. I'm kicking it away and running  even if I run out of breath. I'm running endlessly. Why is time running so quickly to me . I'm kicking it away and running  even if I fall. I'm running without fail. I just need to keep running so you can't even see me. Woah woah woah yeah yeah. Tick tock tick tock gettin' closer. Woah woah woah yeah yeah. Tick tock  hurry and run. Woah woah woah yeah yeah. Tick tock tick tock gettin' closer. Woah woah woah yeah yeah. Tick tock  hurry and run. 
36,19,This is too fast. I waited for this moment  how about you . Are you scared  Or excited . Actually  it hurts me to let you go. Every time a day felt slow  I prayed it'll go by quickly. But now I feel the opposite. I wish this moment would stop for a bit. Time  don't stay here  go away for a moment.          once again  back to the   . Now we became the artists we wanted to be back then. I still can't believe it but I'm happy. Because I had a lot of luck with my dreams  I'm satisfied. But even before I started to dream. I was excited for this moment. I wanna stop time for a moment. I'm not even ready yet. My twenties are waiting for me from far away. Why. Do the days go by so quickly . If I count to three right here. What if everything disappears like a dream. And I'm back to the beginning . Back  back  back  back  back  back. Back to the past. When I used to fret fret fret fret. Every day. If this moment passes  what if it gets far away . What if I never see the me of right now again . I just wanna go. Back  back  back  back  back  back. Back to the past. Now the way I talk is more grown up. Still a bit inexperienced  but I'm walking like I'm confident. Like a middle school student acting like a grown up. I'm still immature  not used to anything. I was used to seeing adult only zones after   PM. Now it doesn't matter anymore. But what do I do  My parents still view me as a baby. Strangely  I'm still used to it too. Pay attention  how old are you to fret again . Soon  I won't be a minor anymore. This is enough. It's natural  keep going. Stop being so uncomfortable  everyone went through this. I always wanted to turn   . I'm going through the same thing as everyone else. But why am I the only one so nervous . Or maybe other people close by like my mom  dad and brother. Maybe they all went through this too. Why. Do the days go by so quickly . If I count to three right here. What if everything disappears like a dream. And I'm back to the beginning . Back  back  back  back  back  back. Back to the past. When I used to fret fret fret fret. Every day. If this moment passes  what if it gets far away . What if I never see the me of right now again . I just wanna go. Back  back  back  back  back  back. Back to the past. This awkward place. Is now my home. Seoul used to feel so big. Now it feels so small. I landed here with a dream. Now I'm looking out the window  preparing to take off. I landed here with a dream. Now I'm looking out the window  preparing to take off. It was so awkward. It used to feel so big. It was so awkward. It used to feel so big. 
37,mixtape4,Hundreds of different paths always without a solution. Confuses me with the unlimited extent. Read others' feelings by tilting my head not to look different. For fear of blushing if I take the wrong path. At some point music started to intervene in my path. And control me. I picked a new path and did as I want. When I failed  I stood up again. To those who thought I gave up  I stick out my tongue. Without knowing where the treasure island is. Lots of reefs during the long voyage in the open sea. I find my dream with a compass. Without comparing to others  I'm getting closer to my dream. When I'm asked where I want to head for. I don't have the answer. Aimless sailing. I should stop wandering. When the doubtful needle of my compass. Turns round and round. Whether it's against its will. It follows the sense of direction of others. When others follow that  I won't. Even if they call me a clown. Even if my compass looks broken to them. I move at my own will A real life Jack Sparrow. This spot where I'm floating. Has never been visited anyone by sailing. On the deep and dark ocean. I was afraid because it was the first time. When others drift away. We'll go against the current. Sailors wandering the ocean. Hoping to be a captain. Music is the ocean. I'm not lonely even if others turn away from me. As long as I stay with my heart. I lean on the broken compass yeah. I'm floating under the moon in the dark night. Will the stars and the moon show me . Where's my sailing heading for . Don't I have confidence of an exclamation mark. Rather than a question mark . Pull yourself together don't give up. Where you're heading for is right. Whatever it is  trust your choice and just follow it. You can do it I believe you and trust you forever. Even if I'm swept by the endless current. Don't stop  go forward on my path. Even if I can be swayed  I'll never be broken. Keep looking up to the sky. I be dreaming high up in the sky. Without direction  follow the wind comfortably. Trust us and go into the clouds  just gotta fly. Sail across the world  this is our time. Stray Kids   or none. We're gonna cross the finish line. No stopping time when all we see are goals in our sights. No turning back  push forward  rise above the light. This spot where I'm floating. Has never been visited anyone by sailing. On the deep and dark ocean. I was afraid because it was the first time. When others drift away. We'll go against the current. Sailors wandering the ocean. Hoping to be a captain. Music is the ocean. I'm not lonely even if others turn away from me. As long as I stay with my heart. I lean on the broken compass yeah. I often walk alone. The empty ocean and desert. Looking for a road  got no place to go like. I can't see anything. It's been a year and it's true now. Call me captain  I'll do it for my crew now.      that's when I started. My precious team is my compass. Even if other ships are busy moving. Only with my compass on my hand. In this wide ocean endlessly unfolding. I'm getting closer to the goal slowly. There are lots of things I can see. Only here  don't regret. Yes  only if I endure. I can see everything I dreamed. When others drift away. We'll go against the current. Sailors wandering the ocean. Hoping to be a captain. Music is the ocean. I'm not lonely even if others turn away from me. As long as I stay with my heart. I lean on the broken compass yeah. 
38,roadnottaken,Wandering around. It's a little confusing. Freeze  panic again. A frustrating situation. I'm walking trusting the compass. But there's a familiar scene. I go on a path that has never been stepped on. Not the main path but my own. Even if I can't see the future  I'll step out. Throw me without fear. Run and run without a regret. Even if it's suffocating  I will never stop. Even if it's suffocating  I will never stop. Even if it's suffocating  I will never. 
39,sideeffects,I believed in myself and threw myself in. But why am I being swept away . I believed in myself and threw myself in. But why does it only hurt . Everyone  get out of the way  actually  I . I'm right  I'm scared . Everyone  just watch  can I do it  . I'm afraid I won't be able to keep my word. Why am I changing  more and more . My inside and outside are changing. But I'm still getting colored. My head hurts. My head hurts. My head hurts. I believed in myself and threw myself in. But why am I being swept away . I believed in myself and threw myself in. But why does it only hurt . Wait  this is strange  it's getting blurry. Why isn't this ending  I keep hearing that anxious sound. Even from here. My fighting spirit overflows  I thought I could beat everyone. But not even my rashness can help me endure. Maybe it hurts more because I thought it'd be easy. I used to shout out. I wouldn't change. But why am I changing endlessly. Depending on my surroundings . Why do my reactions change. Depending on whoever just passes by . I used to bop my head if I liked the rhythm. But now I'm doing it cause I'm following someone else. What if my personal tastes change too . My head hurts. My head hurts. My head hurts. I'm swallowing a pill that gives me baseless confidence.  Gulp gulp . Did I take too much  Now I have more worries than courage.  Tremble tremble . Everything's changing  from   to     everything.  More and more . Without my intention  the side effects keep coming. No no no no. Wait  this is strange  it's getting blurry. Why isn't this ending  I keep hearing that anxious sound. Even from here. My fighting spirit overflows  I thought I could beat everyone. But not even my rashness can help me endure. Maybe it hurts more because I thought it'd be easy. My head hurts. My head hurts. My head hurts. My head hurts. 
40,tmt,The night when all sorts of thoughts come to my mind. As usual I look up to the night sky. As there are more stars twinkling. Why do I get more nervous and anxious  Yeah. As if the stars. Are looking down on me  I feel bad these days. Should I follow the blowing wind . Am I left behind facing the headwind . Not anyone can do this. I shout out every day that I'm not anyone. I know my situation and circumstances. But I keep on going this way. No matter how much I walk I still remain in the same place. Treadmill. This d j  vu is unwelcomed  it distresses me. The two different paths between crisis and opportunity. Is the one that I've been on a crisis . Pretending not to know I keep asking. I want to be like the twinkling star. Not everyone can be a star Bling bling. I'm afraid of falling. Like the falling stars. I guess I'll never ever find out. All sorts of thoughts come to my mind. Should I go or not  Yah. All sorts of thoughts come to my mind. I have all sorts of thoughts in my mind. Why am I wandering even if I chose my path . I ran looking at the star. I feel hopeless about my path so I'm scared again. Can I be like that star . Have I come too far  Yeah. It's the same even if I look back Yeah. In darkness I've walked. By relying only on the shining star. I know I've been walking this way. Based on my will and choice. But I keep looking elsewhere. Are these my lingering feelings  I know it shouldn't. But I'm afraid that it will turn into regrets. Ey Who would challenge knowing that it's impossible . I often get hurt after coming in. But I pretend working hard If I step backwards. Will somebody blame me. For being irresponsible . The path I've been on looking upon the star. Fades away in the dense forest silence. I'm afraid that the star I've been watching. Has already fallen like a meteor. I want to be like the twinkling star. Not everyone can be a star Bling bling. I'm afraid of falling. Like the falling stars. I guess I'll never ever find out. All sorts of thoughts come to my mind. Should I go or not  Yah. All sorts of thoughts come to my mind. I have all sorts of thoughts in my mind. Honestly this is my choice. But I feel nervous about not being able to do it as I wish. Only the expectations for me grow bigger. I'm afraid to fall down if I rely on more. Woah  Hey . Shall I turn back . Woah  Hey . Don't look back. Should I go or not  Yah. I have all sorts of thoughts in my mind. Why am I wandering even if I chose my path . I ran looking at the star. I feel hopeless about my path so I'm scared again. Can I be like the star . 
41,stop,Walk for a bit and sit again. Should we walk more after a bit of rest. Light light footsteps. I don't care wherever we go. Even if it's the wrong direction. Even if it takes time. Even if we walk then fall. Even if we lose to failure  spit on giving up. Why think of everything so deep wherever you go. Don't have to jump over that wall. Just go around  round and round. Just go wherever you want. I'm standing here yet again. Another sun under the sky continues to rise and ser. I just become a cloud and leave myself to the wind. Fly anywhere and dance. I'll go wherever I wanna go. Look at the compass and walk. I don't mind wherever I go. Even if the wall blocks the way  I just take another path. I'll go wherever I wanna go. Always leave myself to the wind. I don't care whatever comes out. Lift my foot  ake a step and go. I'll go wherever I wanna go. I'll go wherever I wanna go. Wander after walking for a bit. Wander because I get confused a bit. Freeze  again panic. Frustrating situation. Wander after walking for a bit. Wander because I get confused a bit. Freeze  again panic. Frustration situation. Look at the compass and walk. I don't mind wherever I go. Even if the wall blocks the way  I just take another path. I'll go wherever I wanna go. Always leave myself to the wind. I don't care whatever comes out. Lift my foot  take a step and go. I'll go wherever I wanna go. 
42,doubleknot,I'm letting out the worries that were tangled in my head. I don't care about the question where should we go . Wherever my feet go  wherever it is  I'm runnin'. I'm tightening my shoelaces again  movin'. Now I'm free  Get up. I can go anywhere. Free  Get up. I'll go my own way  so get out of the way. Free  Get out. Wherever I go  mind your own business. Everyone. I used to curl up in a ball but now I'm straightening up. I can walk anywhere  I can feel relaxed. I can make dirt roads. Into sparkling roads. I can make it a dramatic ending. Like a director. Life is a masterpiece so. Tie it up  make it stronger. Tie it tighter  double knot. Tie it tighter  double knot. I'll go anywhere  go go. I'll go wherever I want  go go. I'll go anywhere  go go. Wherever I wanna go. Everywhere. Like unpredictable dice  like a coin with no sides. I don't care which side of me shows. I'll look at the directionless compass and keep going. Even if I don't get a lot out of this. It's alright  even if I'm just one out of a hundred. If you get greedy and use all the colors on a blank piece of paper. You'll just get black. Now I'm free  Get up. I can go anywhere. Free  Get up. I'll go my own way  so get out of the way. Free  Get out. Wherever I go  mind your own business. Everyone. I used to only look at one place. But now my perspective has broadened. My eyes are on many different paths now. I see all the forks in the road  my eyes growing bigger. Go  Break all the  break all the rules. Wherever my feet touch. Until my breath runs out. Tie it up  make it stronger. Tie it tighter  double knot. Tie it tighter  double knot. I'll go anywhere  go go. I'll go wherever I want  go go. I'll go anywhere  go go. Wherever I wanna go. Everywhere. Whether I stop or not  ey ey. Wherever I go  ey ey. Whatever I do or not. It's all whatever I want. Double knot. Double knot. Go  Go  Go  Go . Go  Go  Double knot. 
43,levanter,I thought I could reach if I kept chasing. I've never even doubted. Even though I held you as I imagined. Even though I held you tight with two hands. In my arms only the emptiness remains. By wandering around. I finally realized. That I have to let go of you.  Oh  I've been deceiving myself.  Oh  The moment I wake up from the dream I've endured.  Oh  I feel the light flooding in. I wanna be myself  I don't care . Even if it's still strange  Just don't care . As soon as I broke away from you  I can see myself. Everything  all before my eyes. Now I know  Now I know . The one I needed has been me. I walk as my feet take me. I feel the light  I feel the light. I was constantly running to you. Then I realized. That my everything was towards you. The more I got close to you. The more I lost myself. Like the fallen leaves under the tree. Even if I eventually get stamped on in the snow. Now I rise above you looking for the spring. The remaining feelings are blown away by the wind.  Oh  The tunnel that locked me up in the dream.  Oh  The moment I get out of it.  Oh  I feel the light flooding in. I wanna be myself  I don't care . Even if it's still strange  Just don't care . As soon as I broke away from you  I can see myself. Everything  all before my eyes. Now I know  Now I know . The one I needed has been me. I walk as my feet take me. I feel the light  I feel the light. I was afraid of letting go of you. But I had to let go of you. It's all good now. I wanna be myself  I don't care . Even if it's still strange  Just don't care . After breaking away from you I can see. Everything  all before my eyes. 
44,booster,                .                 .                 .                  .                    .                  .             .                 My pace.           .           .                 . I over overtake it all.                  .               One step ahead. I  oh  I             . I'm gonna ride  oh  I.                            .                  .                      .                  .               One step ahead.                Here we go.                    .           .                  .                .                    .                      .                 .             .                .              .             .                 My pace.           .           .                 . I over overtake it all.                  .               One step ahead. I  oh  I             . I'm gonna ride  oh  I.                            .                  .                      .                  .               One step ahead.              .        .              .        I never stop.             .             .             Speed it up. I  oh  I             . I'm gonna ride  oh  I.                            .                  .                      .                  .               One step ahead. 
